item_id,order_id,product_id,quantity,unit_price,discount_percent
1,2530,89,5,27729.49,0
2,2739,79,2,35654.49,15
3,474,129,3,22458.9,0
4,214,136,1,12953.4,25
5,1932,59,3,7100.25,25
6,2998,76,1,5998.17,10
7,2340,118,2,30171.58,0
8,2001,131,5,26516.06,20
9,282,52,2,30063.73,0
10,154,132,4,40613.65,30
11,714,123,5,41369.14,20
12,2803,17,3,15321.19,15
13,872,84,2,25617.3,0
14,440,92,4,13996.86,20
15,1963,114,4,19904.65,0
16,920,54,4,12884.78,20
17,1762,68,3,29312.57,0
18,460,13,5,11432.36,0
19,959,88,2,29742.83,30
20,1178,44,3,25754.26,30
21,2745,118,5,45546.39,15
22,2009,85,5,47275.12,0
23,211,46,2,23164.9,30
24,2714,19,2,31982.92,25
25,1893,4,3,45799.41,10
26,406,69,2,8035.8,20
27,430,22,2,10535.51,30
28,1780,138,1,30507.24,25
29,327,71,3,1182.06,0
30,1824,120,5,28035.69,20
31,2397,54,2,31418.81,15
32,2206,6,4,41814.92,15
33,2758,102,1,28804.88,0
34,2182,33,5,32333.6,15
35,997,110,1,16438.1,30
36,2058,32,1,6824.67,5
37,847,103,1,39763.98,30
38,1553,103,2,34525.85,30
39,1643,146,2,30953.16,0
40,2231,83,4,14630.34,5
41,1370,99,4,9337.57,15
42,474,26,4,33958.19,0
43,2082,62,4,42770.25,30
44,2664,97,-4,14784.51,30
45,1045,66,1,3873.34,0
46,2854,119,3,26793.89,10
47,1088,11,3,33480.48,150
48,877,3,3,21139.92,30
49,1079,67,3,28971.63,15
50,89,148,4,24790.09,10
51,2701,1,5,38188.39,10
52,2086,117,3,17562.72,5
53,1347,138,4,22702.96,5
54,1741,142,5,37890.07,10
55,144,52,3,38012.33,0
56,842,141,4,48091.94,5
57,879,104,3,41478.53,0
58,35,4,5,17487.88,30
59,1717,6,2,17466.61,0
60,1074,18,2,4295.38,0
61,1459,116,4,14010.95,0
62,2827,127,5,28273.06,0
63,984,142,1,30825.48,0
64,592,37,3,29389.72,30
65,1597,66,5,18691.06,25
66,591,48,-3,34710.17,5
67,409,28,5,9661.32,20
68,407,98,2,27330.46,25
69,696,15,2,16794.3,5
70,1697,35,1,47923.89,0
71,1905,122,5,24771.89,0
72,2307,4,1,23100.88,5
73,142,116,2,27049.77,20
74,2087,121,1,9322.61,0
75,1040,81,3,49939.74,0
76,2242,18,4,15354.34,20
77,593,58,3,45124.45,0
78,381,102,1,45572.91,10
79,582,5,5,22331.58,25
80,1540,6,2,31294.22,15
81,535,121,4,40926.14,30
82,2774,35,3,17986.56,30
83,1566,10,2,5566.48,30
84,373,44,4,37884.53,10
85,2195,106,3,43946.47,30
86,520,55,4,533.1,30
87,1869,67,1,41052.18,30
88,2313,29,5,42326.22,0
89,1232,12,1,38216.36,5
