order_id,customer_id,order_date,status,region_code
1,167,2026-07-17 07:20:05,DELIVERED,NORTH
2,303,2025-09-04 07:59:04,SHIPPED,WEST
3,528,2025-11-10 15:30:12,PLACED,SOUTH
4,255,2026-01-06 08:55:11,DELIVERED,EAST
5,310,2025-09-30 02:43:32,SHIPPED,EAST
6,64,2026-01-17 06:48:34,SHIPPED,CENTRAL
7,319,2026-01-14 14:37:02,RETURNED,EAST
8,225,2025-12-30 13:59:24,DELIVERED,CENTRAL
9,563,2026-04-11 20:20:51,CANCELLED,SOUTH
10,84,2025-11-13 10:07:20,DELIVERED,CENTRAL
11,561,2025-11-06 01:09:29,DELIVERED,SOUTH
12,533,2026-05-26 16:50:48,DELIVERED,WEST
13,523,24-08-2025,PLACED,WEST
14,60,2026-06-11 02:56:28,SHIPPED,NORTH
15,4,2026-03-23 13:14:53,PLACED,EAST
16,555,2026-04-04 02:05:46,PLACED,WEST
17,,2025-09-13 07:13:51,DELIVERED,WEST
18,392,2026-08-03 09:34:42,DELIVERED,NORTH
19,553,2025-10-14 18:19:38,PLACED,CENTRAL
20,131,2025-09-17 07:04:56,PLACED,NORTH
21,475,2025-09-11 15:11:38,DELIVERED,SOUTH
22,355,2026-02-16 16:53:18,CANCELLED,NORTH
23,,2026-07-24 08:08:48,RETURNED,NORTH
24,69,09-10-2025,DELIVERED,NORTH
25,46,2025-12-17 11:39:40,SHIPPED,NORTH
26,297,2025-09-21 05:58:44,DELIVERED,CENTRAL
27,329,2026-03-20 14:09:01,RETURNED,CENTRAL
28,308,2025-12-28 04:44:42,DELIVERED,SOUTH
29,438,21-07-2025,SHIPPED,WEST
30,327,2026-03-10 03:51:11,SHIPPED,SOUTH
31,485,2025-09-26 08:09:13,CANCELLED,SOUTH
32,60,2026-03-01 11:57:48,DELIVERED,SOUTH
33,262,2025-12-11 01:47:44,RETURNED,EAST
34,196,2026-04-15 00:00:49,DELIVERED,NORTH
35,193,2025-09-29 16:26:54,DELIVERED,SOUTH
36,341,2026-05-03 19:41:27,SHIPPED,SOUTH
37,121,2026-05-26 03:01:35,RETURNED,CENTRAL
38,407,2025-08-04 01:08:05,DELIVERED,WEST
39,368,2025-08-19 13:04:20,CANCELLED,WEST
40,481,2026-06-20 03:19:49,SHIPPED,EAST
41,577,2025-09-22 05:46:58,PLACED,CENTRAL
42,594,2025-11-16 05:16:32,SHIPPED,SOUTH
43,252,2026-01-07 05:58:08,DELIVERED,EAST
44,501,2025-10-22 01:20:46,DELIVERED,SOUTH
45,361,2026-06-16 10:39:27,DELIVERED,CENTRAL
46,61,2026-02-03 23:54:14,PLACED,NORTH
47,423,2026-03-20 01:08:41,PLACED,SOUTH
48,,2026-03-03 09:12:49,DELIVERED,CENTRAL
49,500,2026-03-09 01:17:32,DELIVERED,NORTH
50,282,2026-02-27 10:37:29,DELIVERED,WEST
51,184,2025-11-24 21:30:22,PLACED,SOUTH
52,259,2026-06-09 16:10:58,DELIVERED,EAST
53,471,2026-03-11 10:45:12,SHIPPED,NORTH
54,33,2026-05-28 02:33:43,DELIVERED,NORTH
55,176,2026-04-15 11:54:12,DELIVERED,EAST
56,98,2025-11-04 22:24:01,SHIPPED,CENTRAL
57,48,2026-03-10 07:26:12,SHIPPED,CENTRAL
58,34,2025-08-12 19:43:26,PLACED,SOUTH
59,408,2025-09-01 06:38:36,DELIVERED,CENTRAL
60,399,2025-08-25 21:58:09,DELIVERED,SOUTH
61,81,2025-11-08 01:42:48,PLACED,WEST
62,78,2025-09-20 16:37:21,RETURNED,WEST
63,335,2026-04-10 12:46:25,RETURNED,WEST
64,567,2026-01-28 07:35:56,DELIVERED,WEST
65,303,2025-12-22 16:51:49,PLACED,SOUTH
66,158,2025-09-02 19:50:37,PLACED,NORTH
67,456,2025-12-09 01:08:46,PLACED,SOUTH
68,571,2025-09-21 18:20:07,PLACED,EAST
69,333,18-03-2026,DELIVERED,NORTH
70,573,2026-04-10 12:44:21,DELIVERED,SOUTH
71,174,2026-03-22 11:31:44,DELIVERED,NORTH
72,283,2026-08-09 17:25:34,PLACED,EAST
73,508,2026-02-14 18:02:13,PLACED,EAST
74,,2026-01-19 22:33:06,DELIVERED,EAST
75,441,2025-09-03 18:53:59,RETURNED,SOUTH
76,206,2025-11-11 17:01:52,DELIVERED,EAST
77,503,2026-01-04 15:48:28,SHIPPED,EAST
78,403,2025-07-31 12:09:58,SHIPPED,CENTRAL
79,564,2025-11-29 06:59:41,RETURNED,SOUTH
80,299,14-07-2025,CANCELLED,WEST
81,143,2025-09-02 07:11:46,DELIVERED,WEST
82,76,2026-05-28 16:35:12,DELIVERED,CENTRAL
83,429,2026-07-26 11:04:48,DELIVERED,CENTRAL
84,88,2026-01-26 04:28:19,DELIVERED,SOUTH
85,46,2026-01-22 01:07:06,DELIVERED,EAST
86,441,2026-04-07 01:49:23,SHIPPED,CENTRAL
87,590,2025-12-21 16:06:17,DELIVERED,CENTRAL
88,155,07-06-2026,PLACED,WEST
89,88,2026-01-19 13:36:22,PLACED,EAST
90,212,2025-08-11 23:58:11,PLACED,WEST
91,308,2025-07-22 12:14:23,PLACED,EAST
92,169,2026-05-07 06:33:30,DELIVERED,CENTRAL
93,574,2025-11-02 19:34:36,DELIVERED,SOUTH
94,443,2025-10-26 23:58:47,CANCELLED,WEST
95,399,2026-08-16 18:22:47,DELIVERED,NORTH
96,550,2025-09-14 19:49:04,DELIVERED,EAST
97,502,2026-01-07 03:47:43,DELIVERED,CENTRAL
98,117,2026-04-29 22:36:36,DELIVERED,EAST
99,87,2026-05-09 04:42:46,SHIPPED,NORTH
100,145,2026-02-12 16:48:46,PLACED,WEST
