product_id,product_name,category,subcategory,cost_price
1,Fleece Hoodie Plus,Clothing,Winterwear,35082.17
2,Usb-C Hub,Electronics,Accessories,8805.47
3,Office Chair V2,Home,Furniture,6674.49
4,Cotton Kurti 2026,Clothing,Women,34185.7
5,Wireless Mouse Lite,Electronics,Accessories,25411.29
6,Manga Adventures 2026,Books,Comics,44395.27
7,Mixer Grinder Plus,Home,Kitchen,3165.12
8,Shoe Rack Plus,Home,Storage,26654.34
9,Bookshelf,Home,Furniture,20390.38
10,Gaming Laptop Z Plus,Electronics,Laptops,38904.69
11,Usb-C Hub 2026,Electronics,Accessories,20875.22
12,Python Crash Course,Books,Academic,36460.54
13,Summer Dress 2026,Clothing,Women,6872.81
14,Gaming Laptop Z,Electronics,Laptops,37698.07
15,Usb-C Hub V2,Electronics,Accessories,31871.92
16,Shoe Rack 2026,Home,Storage,16438.38
17,Puffer Jacket Lite,Clothing,Winterwear,30582.19
18,Business Notebook Plus,Electronics,Laptops,4342.41
19,Table Lamp Plus,Home,Decor,29579.38
20,Focus And Flow Plus,Books,Self-Help,29895.85
21,Office Chair Lite,Home,Furniture,31926.36
22,Bluetooth Keyboard 2026,Electronics,Accessories,35645.41
23,Earbuds Pro 2026,Electronics,Audio,30203.15
24,Atomic Habits Guide,Books,Non-Fiction,8192.99
25,Summer Dress Lite,Clothing,Women,44998.95
26,Bluetooth Speaker Plus,Electronics,Audio,4640.32
27,Python Crash Course 2026,Books,Academic,15220.06
28,Focus And Flow 2026,Books,Self-Help,7384.06
29,Focus And Flow Lite,Books,Self-Help,16456.41
30,School Backpack 2026,Clothing,Kids,33709.04
31,Plastic Storage Box 2026,Home,Storage,43455.25
32,The Silent Valley Plus,Books,Fiction,25711.4
33,Wardrobe Organizer Plus,Home,Storage,22680.01
34,Microwave Oven V2,Home,Appliances,6313.23
35,Running Shoes Lite,Clothing,Footwear,24998.43
36,Instant Camera Mini 2026,Electronics,Cameras,12898.61
37,Formal Shirt Lite,Clothing,Men,6715.1
38,Microwave Oven V2,Home,Appliances,39819.76
39,Smartphone Pro Max,Electronics,Mobiles,16890.24
40,Wall Clock Plus,Home,Decor,14408.27
41,Instant Camera Mini Plus,Electronics,Cameras,6277.36
42,Puffer Jacket V2,Clothing,Winterwear,21162.51
43,Focus And Flow,Books,Self-Help,9782.11
44,Earbuds Pro 2026,Electronics,Audio,5091.4
45,Woolen Sweater Plus,Clothing,Winterwear,10805.17
46,The Productivity Code,Books,Self-Help,40741.0
47,Mindful Living,Books,Self-Help,25919.21
48,Noise Cancelling Headphones Lite,Electronics,Audio,15940.79
49,Manga Adventures V2,Books,Comics,3943.15
50,Study Table 2026,Home,Furniture,35409.7
51,Money Matters,Books,Non-Fiction,21208.54
52,Table Lamp Plus,Home,Decor,16132.87
53,Bluetooth Keyboard V2,Electronics,Accessories,28308.37
54,Classic Comic Pack Plus,Books,Comics,15917.58
55,Mixer Grinder V2,Home,Kitchen,30841.93
56,Beyond The Horizon V2,Books,Fiction,2932.28
57,Plastic Storage Box Plus,Home,Storage,35620.59
58,Gaming Laptop Z Plus,Electronics,Laptops,44511.6
59,Sql For Beginners Plus,Books,Academic,29145.48
60,Puffer Jacket,Clothing,Winterwear,15002.75
61,Action Camera Go Lite,Electronics,Cameras,33474.26
62,Table Lamp V2,Home,Decor,22438.3
63,Atomic Habits Guide,Books,Non-Fiction,3642.9
64,Focus And Flow 2026,Books,Self-Help,4705.75
65,Mixer Grinder Plus,Home,Kitchen,27157.31
66,Microwave Oven Lite,Home,Appliances,2000.79
67,Bookshelf Lite,Home,Furniture,44103.2
68,Ultrabook Air Lite,Electronics,Laptops,36069.01
69,Cotton T-Shirt V2,Clothing,Men,30545.87
70,Plastic Storage Box V2,Home,Storage,35055.12
71,Office Chair Lite,Home,Furniture,1553.13
72,Earbuds Pro Lite,Electronics,Audio,16802.77
73,Usb-C Hub V2,Electronics,Accessories,17971.13
74,Running Shoes,Clothing,Footwear,8452.74
75,Atomic Habits Guide 2026,Books,Non-Fiction,34895.68
76,Plastic Storage Box 2026,Home,Storage,41249.82
77,The Silent Valley,Books,Fiction,3424.01
78,Denim Jeans Lite,Clothing,Men,36491.85
79,Mixer Grinder Plus,Home,Kitchen,24794.42
80,Puffer Jacket V2,Clothing,Winterwear,41736.8
81,Formal Shirt 2026,Clothing,Men,44332.44
82,Bluetooth Speaker Lite,Electronics,Audio,24975.12
83,Office Chair 2026,Home,Furniture,39802.55
84,Bluetooth Keyboard Lite,Electronics,Accessories,32376.97
85,Atomic Habits Guide Lite,Books,Non-Fiction,3410.48
86,Mixer Grinder,Home,Kitchen,30636.57
87,Study Table 2026,Home,Furniture,8269.33
88,Noise Cancelling Headphones 2026,Electronics,Audio,2587.09
89,Instant Camera Mini V2,Electronics,Cameras,7371.48
90,School Backpack 2026,Clothing,Kids,38082.27
91,Running Shoes 2026,Clothing,Footwear,28163.13
92,Mindful Living,Books,Self-Help,7670.92
93,Superhero Chronicles Vol 1 V2,Books,Comics,32456.13
94,The Productivity Code 2026,Books,Self-Help,38883.64
95,Wireless Mouse 2026,Electronics,Accessories,9564.51
96,Manga Adventures 2026,Books,Comics,22461.41
