cohort_month,cohort_size,month_0,month_1,month_2,month_3,retention_month_1_pct,retention_month_2_pct,retention_month_3_pct
2023-08,11,0,0,0,0,0.0,0.0,0.0
2023-09,24,0,0,0,0,0.0,0.0,0.0
2023-10,16,0,0,0,0,0.0,0.0,0.0
2023-11,15,0,0,0,0,0.0,0.0,0.0
2023-12,20,0,0,0,0,0.0,0.0,0.0
2024-01,13,0,0,0,0,0.0,0.0,0.0
2024-02,17,0,0,0,0,0.0,0.0,0.0
2024-03,21,0,0,0,0,0.0,0.0,0.0
2024-04,18,0,0,0,0,0.0,0.0,0.0
2024-05,22,0,0,0,0,0.0,0.0,0.0
2024-06,16,0,0,0,0,0.0,0.0,0.0
2024-07,16,0,0,0,0,0.0,0.0,0.0
2024-08,19,0,0,0,0,0.0,0.0,0.0
2024-09,19,0,0,0,0,0.0,0.0,0.0
2024-10,21,0,0,0,0,0.0,0.0,0.0
2024-11,18,0,0,0,0,0.0,0.0,0.0
2024-12,20,0,0,0,0,0.0,0.0,0.0
2025-01,13,0,0,0,0,0.0,0.0,0.0
2025-02,11,0,0,0,0,0.0,0.0,0.0
2025-03,13,0,0,0,0,0.0,0.0,0.0
2025-04,18,0,0,0,2,0.0,0.0,11.11
2025-05,15,0,0,8,6,0.0,53.33,40.0
2025-06,20,0,3,6,6,15.0,30.0,30.0
2025-07,24,8,11,11,7,45.83,45.83,29.17
2025-08,20,7,7,7,6,35.0,35.0,30.0
2025-09,7,2,1,4,1,14.29,57.14,14.29
2025-10,19,7,5,4,6,26.32,21.05,31.58
2025-11,13,5,6,6,4,46.15,46.15,30.77
2025-12,14,3,8,6,4,57.14,42.86,28.57
2026-01,24,7,12,11,8,50.0,45.83,33.33
2026-02,14,3,5,5,2,35.71,35.71,14.29
2026-03,15,1,5,5,4,33.33,33.33,26.67
2026-04,16,8,0,4,6,0.0,25.0,37.5
2026-05,16,4,2,4,2,12.5,25.0,12.5
2026-06,17,3,3,2,0,17.65,11.76,0.0
2026-07,5,0,1,0,0,20.0,0.0,0.0
